Year,Region,Weapons type
2002,Eastern Europe,Explosives
2002,Eastern Europe,Firearms
2002,Eastern Europe,Unknown
2002,Eastern Europe,Firearms
2002,Eastern Europe,Explosives
2002,Eastern Europe,Firearms
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Firearms
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Firearms
2002,Eastern Europe,Firearms
2002,Eastern Europe,Explosives
2002,Eastern Europe,Chemical
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Incendiary
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Firearms
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Firearms
2002,Eastern Europe,Firearms
2002,Eastern Europe,Explosives
2002,Eastern Europe,Firearms
2002,Eastern Europe,Explosives
2002,Eastern Europe,Firearms
2002,Eastern Europe,Unknown
2002,Eastern Europe,Melee
2002,Eastern Europe,Firearms
2002,Eastern Europe,Firearms
2002,Eastern Europe,Explosives
2002,Eastern Europe,Firearms
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Firearms
2002,Eastern Europe,Firearms
2002,Eastern Europe,Firearms
2002,Eastern Europe,Firearms
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Firearms
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Incendiary
2002,Eastern Europe,Firearms
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Firearms
2002,Eastern Europe,Firearms
2002,Eastern Europe,Firearms
2002,Eastern Europe,Incendiary
2002,Eastern Europe,Explosives
2002,Eastern Europe,Firearms
2002,Eastern Europe,Firearms
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
2002,Eastern Europe,Explosives
