Year,Region,Weapons type
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Firearms
2005,Eastern Europe,Firearms
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Firearms
2005,Eastern Europe,Firearms
2005,Eastern Europe,Firearms
2005,Eastern Europe,Firearms
2005,Eastern Europe,Firearms
2005,Eastern Europe,Firearms
2005,Eastern Europe,Firearms
2005,Eastern Europe,Firearms
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
2005,Eastern Europe,Explosives
